run,horodatage,smart_breaker_performance_pct,smart_breaker_amelioration_pct,robustesse_code_pct,qualite_pct,coherence_pct,rejouabilite_pct,couverture_tdb_pct,tsc_erreurs,points_fragiles,sb_tours,sb_tentatives,sb_succes,sb_429,sb_503,sb_401_403,anti_echo_interventions,truncation_lia,truncation_noe,bonus_distincts,bonus_total,smart_conso_pct
chantier2-2026-09-19,2026-09-19T15:37:16.679Z,98.36,87.5,100,,,88.89,60,0,8,299,304,299,3,2,0,0,0,0,8,9
manuel-2026-09-19T20:02,2026-09-19T20:02:43.073Z,,87.5,99.77,,,,20,0,3,,,,,,,,,,,
manuel-2026-09-19T20:04,2026-09-19T20:04:48.846Z,,87.5,99.77,,,,20,0,3,,,,,,,,,,,
manuel-2026-09-20T03:33,2026-09-20T03:33:49.146Z,,87.5,99.78,100,100,0,80,0,7,0,0,0,0,0,0,0,0,0,0,9
full_sim16,2026-09-20T08:07:40.482Z,95.58,87.5,99.78,100,99.63,100,100,0,7,454,475,454,12,9,0,0,0,1,9,9
manuel-2026-09-20T20:51,2026-09-20T20:51:56.444Z,,87.5,99.78,,,,33.33,0,8,,,,,,,,,,,,71
ronde-circle-tasks-22-commits,2026-09-21T01:05:56.459Z,,87.5,99.79,,,,33.33,0,8,,,,,,,,,,,,71
manuel-2026-09-21T02:30,2026-09-21T02:30:23.833Z,91.62,87.5,99.79,99.5,99.5,100,100,0,8,328,358,328,17,13,0,1,0,1,9,9,71
manuel-2026-09-21T04:26,2026-09-21T04:26:42.966Z,,87.5,99.79,,,,33.33,0,10,,,,,,,,,,,,71
manuel-2026-09-22-ronde,2026-09-21T04:27:06.293Z,,87.5,99.79,,,,33.33,0,10,,,,,,,,,,,,71
manuel-2026-09-21T18:52,2026-09-21T18:52:01.165Z,,87.5,99.79,,,,33.33,0,12,,,,,,,,,,,,71
manuel-2026-09-21T22:38,2026-09-21T22:38:24.171Z,,87.5,99.79,,,,33.33,0,12,,,,,,,,,,,,71
manuel-2026-09-22T04:29,2026-09-22T04:29:03.730Z,,87.5,99.79,,,,100,0,14,,,,,,,,,,,,71
manuel-2026-09-22T05:04,2026-09-22T05:04:53.776Z,,87.5,99.79,,,,100,0,14,,,,,,,,,,,,71
